group	target	query	r2_truth	stripped_truth	truth_same	assessment_same
corpus	boxed_isize__df	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_isize__df	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_isize__df	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_isize__df	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_isize__ml	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_isize__ml	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_isize__ml	double_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_isize__ml	double_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_isize__ml	leak_alloc.cqpl	unk	unk	True	True
corpus	boxed_isize__ml	leak_alloc_state.cqpl	unk	unk	True	True
corpus	boxed_isize__ml	mir_rvalue_presence.cqpl	ff	ff	True	True
corpus	boxed_isize__ml	mir_statement_presence.cqpl	tt	tt	True	True
corpus	boxed_isize__ml	mir_structural_allocator_example.cqpl	ff	ff	True	True
corpus	boxed_isize__ml	mir_terminator_presence.cqpl	tt	tt	True	True
corpus	boxed_isize__ml	use_after_free_alloc.cqpl	ff	ff	True	True
corpus	boxed_isize__ml	use_after_free_alloc_state.cqpl	ff	ff	True	True
corpus	boxed_isize__uaf	allocator_mismatch_ub.cqpl	ff	ff	True	True
corpus	boxed_isize__uaf	allocator_mismatch_ub_v2.cqpl	ff	ff	True	True
corpus	boxed_isize__uaf	double_free_alloc.cqpl	unk	unk	True	True
